Country,iso_a3,Last,Previous,Evolution,Date,Unit,
Afghanistan,AFG,1.56,1.35,0.21,Juin 2021,%,
Albania,ALB,6.2,5.7,0.5,Avril 2022,%,
Algeria,DZA,9.6,9,0.6,Fevrier 2022,%,
Angola,AGO,27,27.28,-0.28,Mars 2022,%,
Argentina,ARG,55.1,52.3,2.8,Mars 2022,%,
Armenia,ARM,8.4,7.4,1,Avril 2022,%,
Aruba,ABW,3.5,3.3,0.2,Fevrier 2022,%,
Australia,AUS,5.1,3.5,1.6,Mars 2022,%,
Austria,AUT,7.2,6.8,0.4,Avril 2022,%,
Azerbaijan,AZE,12.2,12.2,0,Mars 2022,%,
Bahamas,BHS,3.8,4.1,-0.3,Octobre 2021,%,
Bahrain,BHR,3.9,3.2,0.7,Mars 2022,%,
Bangladesh,BGD,6.22,6.17,0.05,Mars 2022,%,
Barbados,BRB,5,4.6,0.4,Decembre 2021,%,
Belarus,BLR,16.8,15.9,0.9,Avril 2022,%,
Belgium,BEL,8.31,8.31,0,Avril 2022,%,
Belize,BLZ,4.5,4.1,0.4,Fevrier 2022,%,
Benin,BEN,2,2.5,-0.5,Mars 2022,%,
Bermuda,BMU,2.5,2.2,0.3,Octobre 2021,%,
Bhutan,BTN,5.32,6.03,-0.71,Fevrier 2022,%,
Bolivia,BOL,0.77,0.7,0.07,Mars 2022,%,
Bosnia and Herzegovina,BIH,10.2,8.1,2.1,Mars 2022,%,
Botswana,BWA,10,10.6,-0.6,Mars 2022,%,
Brazil,BRA,12.13,11.3,0.83,Avril 2022,%,
Brunei,BRN,2.2,1.9,0.3,Decembre 2021,%,
Bulgaria,BGR,12.4,10,2.4,Mars 2022,%,
Burkina Faso,BFA,15.1,13.5,1.6,Avril 2022,%,
Burundi,BDI,12.8,13.32,-0.52,Mars 2022,%,
Cambodia,KHM,3.7,3.8,-0.1,Decembre 2021,%,
Cameroon,CMR,2.37,2.29,0.08,Septembre 2021,%,
Canada,CAN,6.7,5.7,1,Mars 2022,%,
Cape Verde,CPV,7.6,7.1,0.5,Mars 2022,%,
Cayman Islands,CYM,7.6,6.4,1.2,Decembre 2021,%,
Central African Republic,CAF,4.78,3.59,1.19,Decembre 2020,%,
Chad,TCD,3.5,2.2,1.3,Mars 2022,%,
Chile,CHL,10.5,9.4,1.1,Avril 2022,%,
China,CHN,2.1,1.5,0.6,Avril 2022,%,
Colombia,COL,9.23,8.53,0.7,Avril 2022,%,
Comoros,COM,3.59,0.88,2.71,Septembre 2021,%,
Congo,COD,3.99,3.9,0.09,Novembre 2021,%,
Costa Rica,CRI,7.14,5.79,1.35,Avril 2022,%,
